event_id,condition,replicate,concentration_m,temperature_c,mg_ratio,mixing_route,session,operator,lot,run_order
pilot:c10:r3,10,3,0.1,40.0,0.0,slow_30min_aging,D1,O1,L1,1
pilot:c00:r1,0,1,0.1,22.0,0.0,fast_no_aging,D1,O1,L1,2
pilot:c02:r3,2,3,0.1,40.0,0.0,fast_no_aging,D1,O1,L1,3
pilot:c03:r2,3,2,0.5,40.0,0.0,fast_no_aging,D1,O2,L1,4
pilot:c06:r3,6,3,0.1,40.0,0.2,fast_no_aging,D1,O2,L2,5
pilot:c11:r2,11,2,0.5,40.0,0.0,slow_30min_aging,D1,O2,L1,6
pilot:c08:r1,8,1,0.1,22.0,0.0,slow_30min_aging,D1,O1,L1,7
pilot:c07:r2,7,2,0.5,40.0,0.2,fast_no_aging,D1,O1,L2,8
pilot:c14:r3,14,3,0.1,40.0,0.2,slow_30min_aging,D1,O2,L2,9
pilot:c04:r1,4,1,0.1,22.0,0.2,fast_no_aging,D1,O2,L2,10
pilot:c15:r2,15,2,0.5,40.0,0.2,slow_30min_aging,D1,O1,L2,11
pilot:c12:r1,12,1,0.1,22.0,0.2,slow_30min_aging,D1,O2,L2,12
pilot:c04:r2,4,2,0.1,22.0,0.2,fast_no_aging,D2,O1,L1,1
pilot:c11:r3,11,3,0.5,40.0,0.0,slow_30min_aging,D2,O1,L2,2
pilot:c13:r1,13,1,0.5,22.0,0.2,slow_30min_aging,D2,O2,L1,3
pilot:c00:r2,0,2,0.1,22.0,0.0,fast_no_aging,D2,O2,L2,4
pilot:c01:r1,1,1,0.5,22.0,0.0,fast_no_aging,D2,O1,L2,5
pilot:c12:r2,12,2,0.1,22.0,0.2,slow_30min_aging,D2,O1,L1,6
pilot:c07:r3,7,3,0.5,40.0,0.2,fast_no_aging,D2,O2,L1,7
pilot:c15:r3,15,3,0.5,40.0,0.2,slow_30min_aging,D2,O2,L1,8
pilot:c08:r2,8,2,0.1,22.0,0.0,slow_30min_aging,D2,O2,L2,9
pilot:c09:r1,9,1,0.5,22.0,0.0,slow_30min_aging,D2,O1,L2,10
pilot:c03:r3,3,3,0.5,40.0,0.0,fast_no_aging,D2,O1,L2,11
pilot:c05:r1,5,1,0.5,22.0,0.2,fast_no_aging,D2,O2,L1,12
pilot:c10:r1,10,1,0.1,40.0,0.0,slow_30min_aging,D3,O1,L1,1
pilot:c13:r2,13,2,0.5,22.0,0.2,slow_30min_aging,D3,O1,L2,2
pilot:c02:r1,2,1,0.1,40.0,0.0,fast_no_aging,D3,O1,L1,3
pilot:c14:r1,14,1,0.1,40.0,0.2,slow_30min_aging,D3,O2,L2,4
pilot:c05:r2,5,2,0.5,22.0,0.2,fast_no_aging,D3,O1,L2,5
pilot:c12:r3,12,3,0.1,22.0,0.2,slow_30min_aging,D3,O2,L2,6
pilot:c00:r3,0,3,0.1,22.0,0.0,fast_no_aging,D3,O1,L1,7
pilot:c01:r2,1,2,0.5,22.0,0.0,fast_no_aging,D3,O2,L1,8
pilot:c04:r3,4,3,0.1,22.0,0.2,fast_no_aging,D3,O2,L2,9
pilot:c09:r2,9,2,0.5,22.0,0.0,slow_30min_aging,D3,O2,L1,10
pilot:c08:r3,8,3,0.1,22.0,0.0,slow_30min_aging,D3,O1,L1,11
pilot:c06:r1,6,1,0.1,40.0,0.2,fast_no_aging,D3,O2,L2,12
pilot:c13:r3,13,3,0.5,22.0,0.2,slow_30min_aging,D4,O2,L1,1
pilot:c07:r1,7,1,0.5,40.0,0.2,fast_no_aging,D4,O2,L1,2
pilot:c10:r2,10,2,0.1,40.0,0.0,slow_30min_aging,D4,O2,L2,3
pilot:c11:r1,11,1,0.5,40.0,0.0,slow_30min_aging,D4,O1,L2,4
pilot:c03:r1,3,1,0.5,40.0,0.0,fast_no_aging,D4,O1,L2,5
pilot:c09:r3,9,3,0.5,22.0,0.0,slow_30min_aging,D4,O1,L2,6
pilot:c05:r3,5,3,0.5,22.0,0.2,fast_no_aging,D4,O2,L1,7
pilot:c02:r2,2,2,0.1,40.0,0.0,fast_no_aging,D4,O2,L2,8
pilot:c15:r1,15,1,0.5,40.0,0.2,slow_30min_aging,D4,O2,L1,9
pilot:c01:r3,1,3,0.5,22.0,0.0,fast_no_aging,D4,O1,L2,10
pilot:c14:r2,14,2,0.1,40.0,0.2,slow_30min_aging,D4,O1,L1,11
pilot:c06:r2,6,2,0.1,40.0,0.2,fast_no_aging,D4,O1,L1,12
